Codi d'expedient,Codi districte,Nom districte,Codi barri,Nom barri,Codi carrer,Nom carrer,Num postal caption,Descripci¢ dia setmana,Dia setmana,Descripci¢ tipus dia,NK Any,Mes de any,Nom mes,Dia de mes,Hora de dia,Descripci¢ causa vianant,tipus de vehicle,Descripci¢ model,Descripci¢ marca,Descripci¢ color,Descripci¢ carnet,Antiguitat carnet,Coordenada UTM (Y),Coordenada UTM (X)
2014S001999,10,Sant Mart¡,71,Proven‡als del Poblenou,169409,Corts Catalanes,1080 1082,Dimarts,Dm,Laboral,2014,3,Mar‡,18,10,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Groc,Desconegut,Desconegut,"4585370,15","433539,41"
2014S002882,2,Eixample,7,la Dreta de l'Eixample,268003,Proven‡a,0361 0361,Dijous,Dj,Laboral,2014,4,Abril,17,15,No ‚s causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"4583831,86","430701,39"
2014S005292,3,Sants-Montju‹c,15,Hostafrancs,169409,Corts Catalanes,0327 0327,Dijous,Dj,Laboral,2014,7,Juliol,17,8,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Blanc,Desconegut,Desconegut,"4580719,38","428674,9"
2014S003828,1,Ciutat Vella,2,el Barri G•tic,18200,Antoni Maura,0006 0006,Dissabte,Ds,Laboral,2014,5,Maig,24,15,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Verd,Desconegut,Desconegut,"4582072,65","431229,93"
2014S001087,10,Sant Mart¡,65,el Clot,209900,Meridiana,0188 0188,Dimecres,Dc,Laboral,2014,2,Febrer,12,12,No ‚s causa del  vianant,Bicicleta,Desconegut,DECATHLON,Blau,Desconegut,Desconegut,"4585113,98","432163,61"
2014S005349,7,Horta-Guinard¢,33,el Baix Guinard¢,344101,Gr…cia,0316 0316,Divendres,Dv,Laboral,2014,7,Juliol,18,18,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"4584585,08","430605,58"
2014S004788,5,Sarri…-Sant Gervasi,23,Sarri…,701268,Dalt (Llobregat),770000,Dilluns,Dl,Laboral,2014,6,Juny,30,14,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"4584389,59","426571,69"
2014S005046,2,Eixample,8,l'Antiga Esquerra de l'Eixample,32700,Balmes,0017 0017,Dimarts,Dm,Laboral,2014,7,Juliol,8,12,No ‚s causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"4582307,82","430275,3"
2014S005973,7,Horta-Guinard¢,39,Sant Gen¡s dels Agudells,335654,Vallvidrera al Tibidabo,0082 0082,Divendres,Dv,Laboral,2014,8,Agost,15,12,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"4586545,06","426672,83"
2014S005181,2,Eixample,7,la Dreta de l'Eixample,176801,Roger de Ll£ria,0058 0058,Diumenge,Dg,Laboral,2014,7,Juliol,13,15,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"4582936,9","430625,11"
2014S005309,10,Sant Mart¡,67,la Vila Ol¡mpica del Poblenou,62609,Ic…ria,0123 0123,Dijous,Dj,Laboral,2014,7,Juliol,17,18,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"4582533,53","432784,94"
2014S005153,2,Eixample,7,la Dreta de l'Eixample,145003,Girona,0089 0089,Divendres,Dv,Laboral,2014,7,Juliol,11,19,Desobeir el senyal del sem…for,Bicicleta,Desconegut,Desconegut,Vermell,Desconegut,Desconegut,"4583202,28","430708,88"
2014S006323,2,Eixample,10,Sant Antoni,198804,Paralúlel,0148 0148,Dimarts,Dm,Laboral,2014,9,Setembre,2,12,No ‚s causa del  vianant,Bicicleta,Desconegut,CHATENET,Desconegut,Desconegut,Desconegut,"4580953,76","429703,82"
2014S004674,2,Eixample,7,la Dreta de l'Eixample,71600,Casp,0056 0058,Dimecres,Dc,Laboral,2014,6,Juny,25,10,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Blau,Desconegut,Desconegut,"4582767,83","431032,99"
2014S005139,2,Eixample,8,l'Antiga Esquerra de l'Eixample,180208,Londres,0055 0055,Divendres,Dv,Laboral,2014,7,Juliol,11,13,No ‚s causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"4582752,48","428840,12"
2014S005364,2,Eixample,5,el Fort Pienc,197302,Marina,0178 0178,Dissabte,Ds,Laboral,2014,7,Juliol,19,19,No ‚s causa del  vianant,Bicicleta,Desconegut,PEUGEOT,Blau,Desconegut,Desconegut,"4583592,71","431696,02"
2014S005368,2,Eixample,9,la Nova Esquerra de l'Eixample,268003,Proven‡a,0054 0054,Diumenge,Dg,Laboral,2014,7,Juliol,20,0,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"4581813,37","428679,7"
2014S004922,1,Ciutat Vella,2,el Barri G•tic,106205,Duc de Medinaceli,9999 9999,Divendres,Dv,Laboral,2014,7,Juliol,4,13,No ‚s causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"4581269,61","431461,76"
2014S004865,10,Sant Mart¡,72,Sant Mart¡ de Proven‡als,153205,Guip£scoa,0027 0027,Dimecres,Dc,Laboral,2014,7,Juliol,2,19,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Platejat,Desconegut,Desconegut,"4585285,75","432752,43"
2014S005339,2,Eixample,7,la Dreta de l'Eixample,145003,Girona,0073 0073,Divendres,Dv,Laboral,2014,7,Juliol,18,15,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"4583115,09","430794,13"
2014S006484,2,Eixample,5,el Fort Pienc,89004,Consell de Cent,0444 0444,Dimarts,Dm,Laboral,2014,9,Setembre,9,19,Desobeir el senyal del sem…for,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"4583528,91","431193,57"
2014S006438,3,Sants-Montju‹c,18,Sants,235208,Olzinelles,0004 0004,Diumenge,Dg,Laboral,2014,9,Setembre,7,21,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Blanc,Desconegut,Desconegut,"4580946,27","427853,54"
2014S004653,3,Sants-Montju‹c,13,la Marina de Port,78802,Cisell,0017 0019,Dilluns,Dl,Laboral,2014,6,Juny,23,22,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Vermell,Desconegut,Desconegut,"4578725,59","428615,84"
2014S006347,2,Eixample,6,la Sagrada Fam¡lia,73900,Castillejos,0211 0211,Dimecres,Dc,Laboral,2014,9,Setembre,3,14,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Blanc,Desconegut,Desconegut,"4584086,44","431715,54"
2014S007280,8,Nou Barris,45,Porta,256401,Pintor Alsamora,0001 0001,Dijous,Dj,Laboral,2014,10,Octubre,9,17,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"4587485,43","431781,63"
2014S007283,7,Horta-Guinard¢,41,la Vall d'Hebron,700812,Can Marcet,0007X0007X,Dijous,Dj,Laboral,2014,10,Octubre,9,19,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"4587572,6","428995,67"
2014S009581,7,Horta-Guinard¢,36,la Font d'en Fargues,136002,Font d'en Fargas,0024 0024,Dissabte,Ds,Laboral,2014,12,Desembre,27,13,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"4586530,62","430366,07"
2014S009010,2,Eixample,7,la Dreta de l'Eixample,268003,Proven‡a,0370 0370,Dilluns,Dl,Laboral,2014,12,Desembre,8,12,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"4583728,57","430633,59"
2014S006746,2,Eixample,9,la Nova Esquerra de l'Eixample,89004,Consell de Cent,0151 0151,Divendres,Dv,Laboral,2014,9,Setembre,19,19,Transitar a peu per la cal‡ada,Bicicleta,Desconegut,Desconegut,Daurat,B,9,"4581769,96","429366,75"
