Codi d'expedient,Codi districte,Nom districte,Codi barri,Nom barri,Codi carrer,Nom carrer,Num postal caption,Descripciﾌ_ dia setmana,Dia setmana,Descripciﾌ_ tipus dia,NK Any,Mes de any,Nom mes,Dia de mes,Hora de dia,Descripciﾌ_ causa vianant,tipus de vehicle,Descripciﾌ_ model,Descripciﾌ_ marca,Descripciﾌ_ color,Descripciﾌ_ carnet,Antiguitat carnet,Coordenada UTM (X),Coordenada UTM (Y), Longitud, Latitut
2016S004625    ,2,Eixample,7,la Dreta de l'Eixample,74506,Catalunya,0088 0088,Dimarts,Dm,Laboral,2016,6,Juny,14,13,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"429957,08","4582931,95",2.161043,41.393019
2016S007983    ,2,Eixample,10,Sant Antoni,198804,Paral裔lel,0130B0132,Dijous,Dj,Laboral,2016,10,Octubre,20,10,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"429960,98","4580950,09",2.161308,41.375177
2016S003384    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,89004,Consell de Cent,0260 0260,Dimarts,Dm,Laboral,2016,5,Maig,3,19,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"429972,86","4582334,02",2.161292,41.387643
2016S003384    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,89004,Consell de Cent,0260 0260,Dimarts,Dm,Laboral,2016,5,Maig,3,19,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"429972,86","4582334,02",2.161292,41.387643
2016S003208    ,2,Eixample,7,la Dreta de l'Eixample,144601,Diagonal,0373 0373,Dimecres,Dc,Laboral,2016,4,Abril,27,18,Altres,Bicicleta,Desconegut,PEUGEOT,Altres,Desconegut,Desconegut,"429984,33","4583344,66",2.161318,41.396741
2016S009505    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,100800,Diputaciﾌ_,0207 0207,Diumenge,Dg,Laboral,2016,12,Desembre,11,8,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Altres,Desconegut,Desconegut,"429989,37","4582192,64",2.161512,41.386366
2016S009677    ,2,Eixample,7,la Dreta de l'Eixample,144601,Diagonal,0438 0438,Divendres,Dv,Laboral,2016,12,Desembre,16,13,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,CONOR,Desconegut,Desconegut,Desconegut,"429990,21","4583397,95",2.161384,41.397219
2016S007252    ,2,Eixample,10,Sant Antoni,70607,Casanova,0032 0032,Divendres,Dv,Laboral,2016,9,Setembre,23,11,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,PEUGEOT,Negre,Desconegut,Desconegut,"429991,98","4581864,17",2.161573,41.383412
2016S003712    ,2,Eixample,10,Sant Antoni,87009,Comte Borrell,0061 0061,Dissabte,Ds,Laboral,2016,5,Maig,14,16,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Vermell,Desconegut,Desconegut,"429999,9","4581250,28",2.16174,41.377883
2016S007716    ,2,Eixample,7,la Dreta de l'Eixample,148307,Grﾌﾊcia,0087 0087,Dilluns,Dl,Laboral,2016,10,Octubre,10,15,Desobeir el senyal del semﾌﾊfor,Bicicleta,Desconegut,Desconegut,Gris,Desconegut,Desconegut,"430002,08","4583088,81",2.161563,41.394437
