Codi d'expedient,Codi districte,Nom districte,Codi barri,Nom barri,Codi carrer,Nom carrer,Num postal caption,Descripció dia setmana,Dia setmana,Descripció tipus dia,NK Any,Mes de any,Nom mes,Dia de mes,Hora de dia,Descripció causa vianant,tipus de vehicle,Descripció model,Descripció marca,Descripció color,Descripció carnet,Antiguitat carnet,Coordenada UTM (Y),Coordenada UTM (X)
2015S005521,3,Sants-Montjuïc,18,Sants,88001,Comtes de Bell-lloc,0118 0122,Divendres,Dv,Laboral,2015,7,Juliol,17,17,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"4581659,91","427920,38"
2015S003249,4,Les Corts,19,les Corts,166659,Joaquim Ruyra,0000 0000,Dimecres,Dc,Laboral,2015,4,Abril,29,14,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"4582596,15","428116,65"
2015S009395,4,Les Corts,20,la Maternitat i Sant Ramon,144601,Diagonal,0643 0643,Divendres,Dv,Laboral,2015,12,Desembre,11,1,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Gris,Desconegut,Desconegut,"4582192,05","426498,61"
2015S005330,4,Les Corts,20,la Maternitat i Sant Ramon,700811,Albert Bastardas,0023 0023,Divendres,Dv,Laboral,2015,7,Juliol,10,9,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"4581542,53","425482,01"
2015S002345,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,143904,General Mitre,0048 0048,Divendres,Dv,Laboral,2015,3,Març,27,14,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"4583251,14","427728,41"
2015S005262,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,144601,Diagonal,0588 0588,Dimecres,Dc,Laboral,2015,7,Juliol,8,8,No és causa del  vianant,Bicicleta,Desconegut,BH,Gris,Desconegut,Desconegut,"4582998,58","428753,60"
2015S008090,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,223606,Muntaner,0309 0313,Dimarts,Dm,Laboral,2015,10,Octubre,27,23,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Gris,Desconegut,Desconegut,"4583389,42","428659,29"
2015S003639,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,148806,Granada del Penedès,0001 0001,Dimecres,Dc,Laboral,2015,5,Maig,13,0,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"4583437,17","429362,62"
2015S003620,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,701352,Gaziel,0000 0000,Dimarts,Dm,Laboral,2015,5,Maig,12,9,No és causa del  vianant,Bicicleta,NG 273,MAN,Blau,D,16,"4585144,25","427050,93"
2015S003838,6,Gràcia,28,Vallcarca i els Penitents,347507,Trullols,0018 0020,Dilluns,Dl,Laboral,2015,5,Maig,18,18,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Rosa,Desconegut,Desconegut,"4586009,35","428032,56"
